GSM311598	GSM311599	GSM311600	GSM311601	GSM311602	GSM311603	GSM311604	GSM311605	GSM311606	GSM311607	GSM311608	GSM311609	GSM311610	GSM311611	GSM311612	GSM311613	GSM311614	GSM311615	GSM311616	GSM311617	GSM311618	GSM311619	GSM311620	GSM311621	GSM311622	GSM311623	GSM311624	GSM311625	GSM311626	GSM311627	GSM311628	GSM311629	GSM311630	GSM311631	GSM311632	GSM311633	GSM311634	GSM311635	GSM311636	GSM311637	GSM311638	GSM311639	GSM311640	GSM311641	GSM311642	GSM311643	GSM311644	GSM311645	GSM311646	GSM311647	GSM311648	GSM311649	GSM311650	GSM311651	GSM311652	GSM311653	GSM311654	GSM311655	GSM311656	GSM311657	GSM311658	GSM311659	GSM311660	GSM311661	GSM311662	GSM311663	GSM311664	GSM311665	GSM311666	GSM311667	GSM311668	GSM311669	GSM311670	GSM311671	GSM311672	GSM311673	GSM311674	GSM311675	GSM311676	GSM311677	GSM311678	GSM311679	GSM311680	GSM311681	GSM311682	GSM311683	GSM311684	GSM311685	GSM311686	GSM311687	GSM311688	GSM311689	GSM311690	GSM311691	GSM311692	GSM311693	GSM311694	GSM311695	GSM311696	GSM311697	GSM311698	GSM311699	GSM311700	GSM311701	GSM311702	GSM311703	GSM311704	GSM311705	GSM311706	GSM311707	GSM311708	GSM311709	GSM311710	GSM311711	GSM311712	GSM311713	GSM311714	GSM311715	GSM311716	GSM311717	GSM311718	GSM311719	GSM311720	GSM311721	GSM311722	GSM311723	GSM311724	GSM311725	GSM311726	GSM311727	GSM311728	GSM311729	GSM311730	GSM311731	GSM311732	GSM311733	GSM311734	GSM311735	GSM311736	GSM311737	GSM311738	GSM311739	GSM311740	GSM311741	GSM311742	GSM311743	GSM311744	GSM311745	GSM311746	GSM311747	GSM311748	GSM311749	GSM311750	GSM311751	GSM311752	GSM311753	GSM311754	GSM311755	GSM311756	GSM311757	GSM311758	GSM311759	GSM311760
CARF	6.421547	6.548131	6.726171	6.3941	5.977183	6.138996	6.784901	6.795034	7.289609	6.285102	6.810758	6.218404	6.430391	6.677223	6.580409	6.402275	6.881176	5.942562	6.447147	6.116902	6.749934	6.931358	6.333749	6.857795	6.586588	6.897063	6.241336	6.165425	6.664441	6.343151	6.247057	6.392723	6.054853	6.84822	6.617786	6.388554	6.801996	6.609685	5.917901	6.239021	5.993272	6.893288	6.077872	6.930522	6.412454	6.701125	5.848747	6.059455	6.165268	6.588421	6.634425	6.263754	6.651378	6.638271	6.461012	6.499633	6.345829	6.17805	6.062062	6.578143	6.379501	6.896328	6.404351	6.931129	6.723622	6.851959	5.912652	6.162614	7.032247	5.980522	6.201084	5.987772	6.290137	5.882232	6.942765	6.680961	6.356695	6.275227	6.254557	6.893033	6.624349	6.373998	6.828931	5.943919	6.039947	6.04741	7.499152	5.858499	6.315447	6.255811	5.934907	6.18046	6.623077	6.81111	6.380094	6.213118	7.215281	6.003491	6.704601	6.520557	7.179356	6.19731	5.91883	6.611152	6.766771	6.908726	5.996575	6.642701	6.219527	6.437528	6.219027	6.357248	6.069287	6.301094	6.077361	6.048353	6.788393	6.401003	6.548364	6.611092	6.285606	5.901331	6.16478	7.009839	6.428311	6.086956	7.838567	6.317908	6.322239	6.299086	6.426282	6.072035	6.823922	6.523871	6.279998	5.944163	6.026454	6.182346	6.48232	6.120406	6.351636	6.523168	6.700627	6.270502	6.517017	6.30818	5.958413	5.936984	6.26566	5.715486	6.760315	6.276655	6.394975	6.574747	6.327126	6.550804	6.892505	6.883929	6.257904	6.202318	5.868176	5.920618	6.43023
CASP3	8.386201	7.87235	8.336333	8.247226	8.144876	8.10694	8.661569	8.148705	8.075482	7.823274	8.597932	8.72691	9.375012	8.190323	8.217263	9.356385	9.662927	8.758819	8.49788	10.033777	9.720669	10.301713	9.151534	8.882819	10.122249	8.780816	8.206972	9.010406	8.683449	8.589223	9.040648	7.84494	8.38387	9.682796	8.889712	8.16931	9.552663	8.211554	9.166012	8.378688	8.380832	8.80265	7.435368	10.962453	8.680868	11.091309	8.052842	8.275098	10.033816	8.807723	9.014019	8.782057	8.734508	8.551675	7.814693	9.720095	7.777591	8.539483	8.037756	10.166463	9.287905	8.876787	8.323498	9.634996	8.667839	9.204798	8.176923	8.086746	8.97735	8.405183	9.65105	9.37103	8.697535	8.839278	9.574118	8.91221	7.950159	9.503439	9.200687	7.802568	8.925356	8.263042	8.673395	8.035954	7.952087	8.356682	10.908846	7.364076	8.091162	8.635633	7.014703	8.088031	8.755412	9.049614	7.669854	8.730194	9.536802	8.830566	10.001521	8.80081	8.887471	8.373253	8.282982	8.877841	8.516977	8.882721	7.719929	8.515688	7.819615	7.928356	10.03803	9.258043	9.37552	8.907048	9.934689	8.455256	9.909642	10.800591	9.502977	9.192206	8.230327	8.158527	9.484576	8.626243	7.59445	8.826593	9.329407	8.116754	8.263637	8.061324	8.606797	8.232013	8.9321	8.823094	8.727725	8.706321	9.212125	8.490462	8.926175	9.057876	10.045765	9.712885	8.055353	8.520159	8.590896	8.107759	9.221203	9.333407	9.900977	9.565587	9.065023	7.788414	7.640146	8.485167	9.223059	8.669699	8.700801	8.79477	8.910529	7.820329	8.159879	8.883197	9.656595
CCNA2	8.530014	9.379265	9.810816	8.720253	10.908362	9.040286	7.788683	8.908075	8.958187	8.411012	9.715732	7.926867	7.799479	7.873939	8.321296	8.667614	8.73031	8.115135	7.848033	8.182029	8.093994	8.128029	8.140353	8.123104	9.850979	9.00712	9.92176	8.855137	9.492075	8.01717	8.005308	8.540455	8.404249	8.337452	9.145301	8.135131	9.291163	9.163215	8.215818	9.263271	9.442482	9.179644	9.67818	8.443641	9.938535	8.170058	8.022266	8.150346	9.075671	8.338817	9.32335	10.066512	8.042262	7.518897	9.147301	7.963211	8.173156	8.54464	8.746487	8.052768	7.672631	7.679782	8.2398	8.297839	8.215345	9.059071	9.445873	9.980696	8.338622	9.611154	8.588119	8.777937	7.989563	8.583279	7.214203	8.926254	8.795923	9.809429	7.84848	7.928011	9.268414	9.059728	8.017691	8.296468	9.457022	9.014603	8.120957	8.849864	10.038353	9.657338	8.053683	8.610374	8.502632	8.776939	8.273931	9.052034	8.232398	7.552003	8.402241	9.301214	8.862813	8.306967	7.535595	8.03414	8.030169	8.665848	9.073479	8.296314	8.229203	8.449172	9.09334	9.248674	8.979319	8.916452	8.570816	8.131096	8.041388	8.419804	8.078514	10.160788	8.445729	8.348593	9.029914	8.685279	8.798387	8.395749	9.231245	8.715566	7.801694	8.028197	8.39964	7.671823	9.091379	8.600737	8.077797	8.624481	9.093766	8.378724	7.722718	8.901228	8.87934	7.872393	8.347745	8.646103	7.773244	8.625804	9.622934	8.166486	9.317207	8.722094	8.879926	8.227881	8.245708	8.979239	8.005465	8.955147	8.171074	8.998655	7.706327	8.139477	11.217553	8.002046	9.912828
COL9A2	8.560825	8.617622	8.626045	9.055051	8.332599	8.392007	8.547716	9.875932	8.818263	9.213066	9.555258	9.318308	8.437998	9.076732	9.182564	9.506162	9.821313	8.410236	8.631183	8.766373	8.869416	8.694044	8.836747	8.708856	8.202921	9.076947	8.740563	8.341733	8.330798	8.374667	9.73608	8.670158	9.087731	8.72206	9.282273	9.166257	8.36466	8.570992	8.993469	9.396154	8.80324	8.771211	8.788626	8.559181	9.51843	8.578797	8.800396	9.010646	9.168985	9.236721	9.015284	9.258178	8.5291	8.974189	9.543347	8.610932	9.069216	9.158639	8.516427	8.556178	8.468368	8.54977	8.527851	8.872762	8.243855	8.80083	8.680165	8.945562	8.704586	8.535359	9.475385	10.104263	8.452459	8.114917	8.466706	8.730168	8.754247	8.309203	8.640089	8.588673	9.331997	8.402829	8.835066	8.846139	9.037992	9.487983	8.728076	8.502351	8.452647	8.25735	9.511847	8.927817	7.932816	9.11237	8.63295	8.458971	8.573423	8.600294	8.486972	8.814112	9.226015	8.487063	8.340658	8.865585	8.491883	8.427319	9.091327	8.422924	8.521055	8.461193	8.30904	9.332321	8.558938	9.181532	9.244832	8.151605	9.983542	8.275298	9.092274	8.852418	8.37003	8.957534	8.60894	8.854198	8.474264	8.218129	8.482347	8.24745	10.333817	8.566648	9.352238	9.204719	9.273915	8.547076	9.45885	9.165497	9.423622	8.752028	9.595753	9.634797	8.407258	9.567058	9.143738	8.6863	8.392509	9.60143	9.170241	8.618438	8.268428	8.885893	9.594345	8.527944	8.779557	9.081549	8.556177	9.111788	9.194804	8.911668	8.473406	10.207815	8.19994	8.071779	8.431643
CPT1A	8.396931	8.611168	8.832199	8.897778	9.025783	8.57668	9.075015	9.248002	9.397523	9.057463	8.982976	9.04528	8.835067	9.229045	8.960388	8.768839	9.245951	8.600422	8.980106	8.799719	9.908155	9.645699	9.113788	9.307576	9.585667	9.288812	8.679765	8.994926	8.59122	8.350195	9.1507	9.098092	8.472075	9.133173	9.099147	9.460044	9.336175	8.94301	8.980489	9.003669	8.719076	9.248889	8.571688	9.719064	8.668978	8.833263	8.771875	8.958868	8.847079	8.884822	8.926028	8.768066	9.023009	9.144146	8.701806	8.918887	9.16874	8.858789	9.2839	9.238785	9.253963	9.21612	8.404489	9.545997	9.307596	9.136794	8.743251	8.840592	9.262504	8.788819	8.742701	9.085182	9.351958	8.718704	9.455034	8.888541	8.429416	9.045907	9.232693	8.623788	9.087246	8.495021	9.402257	8.666319	8.466771	8.677016	9.57049	8.176868	9.111768	9.04855	8.614112	8.996346	8.735232	9.321384	8.602973	9.236341	9.268633	8.323741	8.891599	9.308588	9.718249	9.35132	8.233528	9.200122	9.147806	9.675972	8.964093	9.338278	8.884343	8.686476	8.894862	9.361517	8.615624	9.069942	9.060083	8.941146	9.669548	8.392249	9.049533	8.895991	8.491167	8.176032	8.979101	9.337141	8.466592	8.34233	9.247265	8.783683	9.156993	8.758136	8.851608	8.48538	9.105356	9.375295	8.957636	9.008757	9.208113	9.244895	9.290686	9.165838	8.673021	9.593113	9.024158	9.225474	9.133946	8.854517	9.858196	8.769934	9.344699	8.724435	8.993472	8.491332	9.480204	9.00496	8.623426	9.218598	9.123201	9.207156	8.985853	8.688246	8.803594	9.256522	8.945617
CRTAP	8.749186	9.484002	9.295129	9.626572	8.479699	9.082752	8.804583	9.156083	9.17395	9.282983	9.267716	8.947407	8.814754	9.516984	9.46675	9.79193	9.703124	8.729259	9.134906	8.907631	9.372084	9.307483	8.926786	9.232861	9.087578	9.615211	8.824019	9.346162	8.687188	8.999505	9.572543	9.389488	9.115292	8.825255	9.199349	8.978958	9.23908	9.32563	9.259854	9.267492	8.323859	10.004265	8.839982	9.811559	8.966086	8.56804	9.187736	9.537514	9.275235	9.343039	9.348566	9.302898	8.941356	8.996449	9.403673	9.110213	9.229368	9.08047	9.36574	8.671024	8.687228	9.052765	8.795665	9.320372	9.16622	8.938261	8.830593	8.984425	9.290706	8.520826	8.498517	9.3009	9.503443	8.60643	8.737968	9.280727	8.643086	8.691188	9.70109	8.283166	9.11481	8.74264	9.096603	8.761565	8.818189	9.227995	9.222947	8.587035	9.047737	9.300991	8.38608	9.157811	9.226745	9.110293	9.289625	9.18104	9.080724	9.200441	8.956782	9.219616	9.506902	9.183915	8.597266	9.011159	8.884736	9.235042	9.405847	9.11345	8.977663	8.862219	9.402338	9.497396	8.8264	8.96409	9.162009	8.685628	9.555027	8.431483	9.104098	8.834135	8.691407	8.528305	9.328136	9.80083	9.158995	9.125427	9.432655	8.822358	9.434802	9.21714	9.172472	8.306558	9.146807	8.568492	8.759433	9.10466	9.232324	9.236922	9.405751	9.324633	9.041645	9.414177	9.061209	9.056914	8.524676	9.272538	9.291894	8.740316	9.172769	8.745876	9.620383	8.745977	9.176798	9.753303	8.705244	9.744668	9.209877	9.469932	9.028836	9.396053	8.260217	8.507916	9.621417
CSK	10.110044	11.063558	10.552811	11.665139	10.327563	10.46148	10.888884	11.418096	10.930577	11.465751	11.05323	10.750736	11.107573	11.688463	11.892403	11.466185	11.324944	9.996368	10.977818	10.212973	11.085687	11.229077	11.185679	11.6198	11.582943	11.697328	9.712008	10.879136	10.628959	9.287717	10.787181	11.164769	10.76313	10.99841	11.604679	10.90916	11.194042	11.02882	10.535818	10.962793	9.987178	11.521327	10.437597	11.251989	11.037021	10.418449	10.670874	10.37166	10.746102	11.331992	11.174242	10.758512	10.937793	10.487885	10.943892	10.510998	10.637951	10.744912	10.614687	10.679569	10.907957	10.878952	10.27541	11.706378	11.566388	11.568726	10.387815	9.894222	11.321738	9.865825	10.325724	10.244015	11.094395	9.741266	11.055858	10.68514	9.671553	9.775785	10.710164	10.294429	10.774482	9.963604	11.045555	10.179099	9.81654	10.850119	11.603429	9.544564	10.474679	10.996463	10.952749	10.80238	11.276451	11.756805	10.881846	10.769493	11.347954	10.523229	10.699683	11.093134	11.466247	10.60179	9.560592	11.110377	11.699492	11.299708	11.465339	11.601885	10.228135	10.295036	11.223596	11.366727	9.637664	10.885867	10.768129	10.493975	11.291524	10.626159	10.793552	10.786074	9.631189	10.211851	11.006989	11.598202	11.420671	10.026084	11.81429	10.177221	11.926092	12.295223	10.653217	10.139992	11.710005	10.87706	11.251995	11.186129	10.917194	10.971427	11.472095	10.986817	10.427154	11.306539	9.864	10.711065	10.947879	11.035007	11.133929	10.146942	10.276998	10.587419	11.787469	9.377456	11.037967	11.713991	9.371675	10.892179	11.853488	10.851878	10.287567	11.201491	9.846413	10.987699	11.262209
CXCR1	9.539155	9.511143	9.368671	9.689284	9.384641	9.752597	9.417001	9.337318	9.358973	9.459936	9.452961	9.552868	9.34757	9.469868	9.630601	9.491099	9.360053	9.550598	9.437544	9.482598	9.395783	9.42732	9.309951	9.331001	9.369426	9.355393	9.632214	9.243731	9.574307	9.584513	9.322175	9.503489	9.735273	9.435848	9.126881	9.419862	9.385386	9.458634	9.397137	9.314749	9.460966	9.156054	9.618862	9.257193	9.481114	9.468969	9.586142	9.562048	9.349319	9.330172	9.527084	9.424394	9.414245	9.471166	9.422534	9.401961	9.371307	9.367071	9.100701	9.44471	9.393	9.510924	9.713365	9.289918	9.623571	9.332298	9.414674	9.411629	9.561812	9.43653	9.425016	9.536459	9.788023	9.826988	9.301442	9.270545	9.698395	9.493676	9.204303	9.357581	9.032086	9.549956	9.335914	9.915924	9.668435	9.365925	9.305143	9.571158	9.647363	9.484235	9.711176	9.435448	9.473645	9.297636	9.456937	9.217382	9.327061	9.638075	9.413531	9.649031	9.522213	9.3987	9.54637	9.29156	9.350649	9.236445	9.604617	9.345938	9.519637	9.358107	9.404197	9.40238	9.440024	9.494251	9.362686	9.336399	9.59142	9.364615	9.684956	9.461198	9.387481	9.783673	9.586157	9.415473	9.547605	9.732417	9.289868	9.598245	9.362953	9.521488	9.415971	9.629866	9.156636	9.177961	9.480238	9.567816	9.459691	9.151754	9.505601	9.47831	9.428961	9.27352	9.499155	9.420798	9.523984	9.603201	9.300914	9.448882	9.210509	9.391875	9.394424	9.58867	9.468396	9.422992	9.620238	9.455302	9.375295	9.251629	9.37149	9.408265	9.427569	9.362588	9.369772
CXCR2	7.422328	8.776589	7.743259	8.432377	7.658903	7.833825	7.262451	8.026899	7.805333	7.747487	8.183929	7.41985	7.662946	8.079718	8.857284	7.765034	7.863125	7.815076	7.880765	7.547435	7.337326	6.981661	7.292415	7.490983	7.692075	7.60015	7.553747	7.712029	7.360154	7.989196	7.724131	7.385916	9.08202	7.447194	9.265041	7.928619	7.431371	7.754764	7.837655	7.785628	7.79549	7.47005	7.856848	7.36357	8.646638	7.791049	7.606083	7.639804	7.551072	7.728567	8.11696	8.551474	7.577204	7.539635	8.681923	7.852874	7.370536	7.849259	7.392218	7.458437	7.627091	7.402544	7.655655	8.149064	7.701544	7.792144	8.024212	8.015219	7.655262	7.5475	7.192425	7.821355	7.814498	8.09547	7.544949	7.868942	7.918554	7.814589	7.652473	7.498656	7.945013	8.10201	7.950199	7.446618	7.368478	7.71885	8.151748	7.592617	7.494158	7.444624	8.073384	7.639541	9.796281	7.54321	7.714787	7.687345	7.537336	7.695532	7.55458	8.458902	7.56319	7.418163	7.609426	7.57867	7.652493	7.651382	8.760671	7.738744	7.808587	7.54277	7.834964	7.746301	7.688562	7.385426	7.77981	7.592116	7.621513	7.607463	7.729699	8.086977	7.676914	7.934659	7.62116	7.617402	8.078368	7.757697	7.856846	7.771907	7.562503	7.921753	7.740151	7.644611	7.540608	7.760467	7.620218	7.580156	7.816462	8.149532	8.023158	7.710986	7.467377	7.731041	8.118972	7.527361	7.708329	8.595394	7.816681	7.687875	7.81387	7.754824	8.855761	7.400617	8.085808	8.037731	7.584786	7.647048	8.11531	7.49992	7.91	7.780163	7.443377	8.492643	7.937621
CXCR3	8.151115	8.042252	8.083305	8.44768	8.139987	8.357945	8.412918	8.38551	8.197029	8.003877	8.186625	8.389973	8.401551	8.288315	8.278801	8.152321	8.153091	8.525083	8.708842	8.508125	8.337617	8.438889	8.711553	8.434387	8.483901	8.290212	8.21619	8.434216	8.334927	8.380442	8.175422	8.416321	8.576983	8.328708	8.199961	8.408352	8.190134	8.760592	8.092008	8.414073	8.410746	8.271235	8.276023	8.276599	8.313884	8.096551	8.161729	8.321789	8.235178	8.338879	8.176522	8.114448	8.67475	8.337129	8.139919	8.201435	8.371639	8.273675	8.412622	8.381916	8.144408	8.217945	8.174103	8.613089	8.294775	8.175444	8.287569	8.358552	8.164414	8.624761	8.395339	8.479055	8.317383	8.477214	8.661358	8.271402	8.255167	8.259334	8.258836	8.544377	8.175591	8.108154	8.271691	8.547988	8.24962	8.422584	8.509477	8.416706	8.241662	8.262762	8.554133	8.361372	8.172235	8.495053	8.257424	8.959001	8.283772	8.910442	8.128348	8.441395	8.4156	8.747753	8.617566	8.513349	8.41169	8.258706	8.308077	8.432503	8.430854	8.494128	8.327842	8.681586	8.303778	8.401931	8.302983	8.417364	8.52109	8.271448	8.540628	8.29111	8.802039	8.519226	8.29298	8.361942	7.953268	8.336745	8.262223	8.19507	8.130443	8.219387	8.155189	8.517004	8.37673	8.531691	8.133007	8.218343	8.552552	8.272447	8.313801	8.418285	8.40773	8.534723	8.403204	8.351859	8.21508	8.260434	8.410311	8.745339	8.282983	8.405469	8.304268	8.372478	8.547318	8.139645	8.57931	8.05428	8.46568	8.258012	8.611851	8.486181	8.299433	8.348189	8.015058
CXCR6	7.847922	7.395067	7.465244	7.385561	7.468073	7.360368	7.394118	7.254521	7.371166	7.227154	7.255076	7.229509	7.407298	7.492142	7.470857	7.545707	7.249571	7.353603	7.351867	7.416814	7.408893	7.413701	7.434442	7.399483	7.215465	7.297824	7.584509	7.309601	7.428141	7.817826	7.635927	7.493383	7.446227	7.327689	7.506774	7.596354	7.367069	7.228364	7.493667	7.323134	7.446353	7.2684	7.430637	7.229384	7.931369	7.419236	7.493974	7.432049	7.494185	7.503477	7.343702	7.530656	7.4158	7.469781	7.348801	7.677323	7.425016	7.507673	7.471032	7.348139	7.360232	7.409616	7.906943	7.365668	7.474306	7.296955	7.609471	7.273964	7.290287	7.679402	7.505146	7.308017	7.417011	7.56289	7.437939	7.486109	7.654637	7.714568	7.47727	7.688382	7.410255	7.595458	7.247148	7.749905	7.489079	7.562224	7.283333	7.547304	7.450066	7.431388	7.521828	7.576257	7.571339	7.335665	7.491882	7.546103	7.29643	7.551182	7.53905	7.274871	7.300096	7.385491	7.51802	7.227716	7.30571	7.423931	7.627022	7.448914	7.632336	7.551298	7.432946	7.255296	7.538992	7.319343	7.320268	7.620754	7.366419	7.658027	7.465325	7.460923	7.706302	7.499871	7.463393	7.349347	7.606346	7.70358	7.393396	7.675552	7.520121	7.504898	7.406998	7.500693	7.272232	7.512767	7.32003	7.369125	7.487267	7.431339	7.461659	7.515735	7.516127	7.423593	7.372562	7.412113	7.308625	7.509197	7.407052	7.378674	7.450181	7.361561	7.484546	7.765825	7.46285	7.347901	7.833138	7.436066	7.34598	7.238415	7.657057	7.480353	7.475554	7.429379	7.372002
CYP2E1	7.529856	7.542229	7.58266	7.459027	7.43161	7.494442	7.464185	7.427903	7.657082	7.350139	7.423705	7.646575	7.387722	7.397244	7.41983	7.548924	7.474989	8.008546	7.540125	7.787641	7.356108	7.746638	7.748756	7.572392	7.304942	7.366819	7.567562	7.661557	7.402272	7.657754	7.467095	7.63386	7.683428	7.763821	7.456549	7.423301	7.931377	7.480773	7.514388	7.312822	7.394127	7.513057	7.50284	7.85114	7.459095	7.838906	7.478334	7.49397	8.310034	7.460249	7.696088	7.542643	7.546451	7.540974	7.472793	7.935232	7.471341	7.563068	7.633014	7.558387	7.814711	7.503264	7.480266	7.68985	7.519631	7.670489	7.695673	7.684757	7.477593	7.46466	7.716546	7.486056	7.466975	7.585	7.679157	7.45215	7.390948	7.570949	7.864911	8.080727	7.621054	7.535236	7.541352	7.63264	7.672138	7.422428	7.675927	7.524641	7.551663	7.601452	7.456516	7.665028	7.503072	7.863715	7.617742	7.547693	7.684672	7.45135	7.728875	7.502098	7.324874	7.608914	7.550461	7.594599	7.632333	7.71184	7.371715	7.541314	7.624471	7.538102	7.838581	7.838292	7.36664	7.68193	7.48915	7.519829	7.567652	7.841135	7.876161	8.050549	7.777848	7.630654	7.737922	7.417604	7.588256	7.79705	7.506577	7.645393	7.40706	7.465393	7.564949	7.611846	7.943566	7.916411	9.308317	7.495377	7.401926	7.545572	7.441523	7.507756	7.915597	7.498365	7.539989	7.603737	7.507398	7.508589	7.566968	7.462644	7.492488	7.531388	7.66199	7.559989	7.399206	7.387453	7.513787	7.391092	7.567943	7.521709	7.427122	7.524559	7.600155	7.67999	7.610133
DAPK1	8.629484	9.543274	9.088254	9.578514	8.458585	8.935868	9.54692	9.135463	9.532607	8.394586	8.738722	8.494955	9.839923	8.779817	8.956916	8.958479	9.109186	8.333423	9.397142	8.524219	9.370637	8.898624	9.192823	9.552018	9.994665	8.962249	8.839105	8.980493	9.182988	8.679777	8.613241	9.261053	8.257817	9.247276	8.949789	8.51787	8.982316	9.572043	8.440247	8.256292	8.169208	9.704504	8.305292	8.006114	8.451564	9.843377	8.298278	8.966144	8.872152	8.640404	8.546728	8.564388	9.692315	9.697475	8.931756	8.717504	8.440414	8.347009	9.069104	9.273428	8.999407	9.796609	8.92969	9.63629	9.760681	9.321956	8.340877	8.504245	9.555269	8.074623	8.273926	8.723536	8.640912	8.338793	10.107852	8.669311	8.498798	8.983394	9.508891	9.108469	9.557343	8.279985	9.579526	8.21067	8.266989	8.203163	10.183462	8.153433	8.588836	9.094752	7.908921	8.958836	9.810117	9.719909	8.274016	9.419104	10.132717	8.727524	9.235075	9.139956	8.859506	9.121506	8.440638	10.128659	9.967123	9.752641	9.174051	10.016891	8.826692	8.611368	8.943391	9.335477	8.134126	8.174595	8.404207	8.843294	8.715297	9.038254	9.145007	8.729175	8.214273	8.201023	8.406663	8.927999	8.878694	8.771428	9.911925	8.651341	7.658966	9.594883	8.226101	8.214517	9.231255	9.053418	8.663278	8.089065	8.238653	9.34343	8.674423	8.072547	8.782563	8.696398	8.418599	8.484237	9.367884	8.708599	8.17922	8.185036	8.267573	8.362702	9.117303	8.368228	8.513926	8.935838	8.768056	8.343614	9.475638	8.446495	9.392413	8.605732	8.201182	9.125084	9.383933
DNMT3B	9.000721	9.029979	9.82284	8.564026	8.783787	8.547797	10.777841	9.80903	9.589463	8.516435	9.379056	9.166534	8.365983	8.858009	8.55867	8.629122	9.248126	8.987188	9.565544	8.988527	9.173731	9.267427	9.146694	10.037345	9.144385	9.043029	8.518487	9.219654	8.943137	8.614391	8.245028	9.575131	8.188604	9.910641	8.7617	9.277763	9.542343	9.047118	8.239793	9.180682	8.495486	10.176108	8.766397	9.276444	9.041818	9.030568	8.632928	8.805487	9.026405	8.978975	9.598252	9.000838	10.087815	9.498586	8.722999	9.017559	8.821488	9.239304	9.025143	9.778543	9.624104	9.093752	9.27452	10.322752	8.909118	10.468634	8.721343	8.879067	9.899201	8.589277	8.717372	8.873192	8.755592	8.236628	9.535375	8.831135	8.278534	8.394602	9.376828	10.237804	9.862143	8.701118	10.933156	8.692601	8.688337	8.339457	10.393345	8.767677	9.352232	9.173532	8.582569	9.157241	9.154975	10.412806	9.039552	9.455754	10.723255	8.346994	9.646084	9.37596	9.587262	9.973982	8.645125	10.32128	10.755231	10.040875	8.858909	10.150403	9.289181	8.778481	9.367732	9.515287	8.396342	9.06003	8.68307	8.390078	8.995104	8.851714	8.711779	9.069296	8.496288	8.36619	9.20777	10.167853	9.302042	9.024533	10.711993	9.096004	8.767586	8.56385	8.897121	8.761462	9.934693	9.378273	8.469507	8.741186	8.822434	9.762835	8.239647	8.85138	9.304199	9.435084	8.845574	9.128256	10.38227	8.920922	8.810923	8.702655	8.99334	8.573898	9.186882	8.644272	9.20204	8.858081	8.673059	9.111278	10.300991	9.255459	9.150984	8.769049	8.819514	8.854686	9.708913
ELANE	13.04561	12.28061	11.318426	12.566352	13.435357	12.671876	12.36194	12.830228	9.910153	12.098058	12.404732	12.36851	8.33358	11.762183	11.462978	11.047388	12.637288	11.497609	13.133352	14.175095	13.046994	9.569769	14.29889	11.570972	13.261483	12.22358	13.331162	14.865764	12.340448	9.2636	13.753903	11.478819	13.300737	13.328216	14.543661	12.298416	8.333737	11.147934	13.640579	14.053822	13.501033	14.188636	12.043647	7.988893	9.84003	12.130658	11.409919	13.678851	14.591799	11.807737	14.337772	14.168081	13.017404	12.08705	11.858777	13.12267	14.285578	12.700115	14.839287	13.903605	13.189713	11.632201	10.32357	9.563825	10.255969	12.996238	14.396511	14.30098	12.710755	13.437961	11.691921	15.154903	13.753272	13.087914	11.932895	13.652906	13.029972	13.808759	8.994028	9.374151	14.166992	14.338274	10.232739	10.696824	13.889471	12.193679	12.263505	13.708474	13.205313	12.36954	10.379843	13.768321	10.232264	13.628904	14.059263	12.071089	11.541549	10.810445	13.159912	11.368198	11.051052	11.942012	8.894388	14.003027	8.980597	13.943294	12.86031	12.581196	10.912543	12.709077	10.339658	14.218424	15.201551	13.559906	14.11777	9.111825	12.397572	10.623747	11.930369	13.20411	10.007401	12.95752	14.832555	12.015638	10.215815	9.893206	12.08455	11.330252	10.543476	12.116111	15.206329	10.265972	9.103291	13.441858	10.599561	12.853923	14.102344	13.87169	12.21767	13.079148	11.877853	10.168157	14.289104	13.400893	8.520718	11.906423	13.294526	11.118674	11.125415	11.189857	12.084919	9.011127	14.811038	10.627571	10.075719	11.403825	12.456176	14.120899	10.996993	11.034365	13.263904	11.831949	8.870083
